school_id,cn_name,en_name,tags,faculty,school,category,entry_month,duration,tuition,interview,objectives,apply_requirements,language_requirements,analysis,curriculum,url,degree
,数学与数量金融硕士,Master of Mathematics and Quantitative Finance,"理科, 数学, 理学院",理学院,悉尼科技大学,数学,8月,2年,48070澳元/年,无,重大监管变化和新型金融风险的出现意味着对熟练的量化金融专业人员的需求比以往任何时候都更大。悉尼科技大学数学与数量金融硕士项目在澳大利亚和海外被公认为是有抱负和成熟的定量金融专业人士的领先资格。悉尼科技大学数学与数量金融硕士项目由行业专家和悉尼科技大学领先的定量金融学者设计，旨在满足寻求建立学术定量专业知识的毕业生在这一专业领域的需求。通过理论学习和实践经验的结合，学生获得在当今复杂的金融市场中衡量和管理风险所需的技能和专业能力。,具有学士学位或同等学历,雅思: 6.5; 托福: 79,无,软件开发基础知识 Fundamentals of Software Development; 先进的科学沟通技巧 Advanced Communication Skills in Science; 了解数据和统计设计 Understanding Data and Statistical Design; 微积分1 Calculus 1; 代数 Algebra; 概率和随机变量 Probability and Random Variables; 量化管理实践 Quantitative Management Practice,https://www.uts.edu.au/study/find-a-course/master-mathematics-and-quantitative-finance,
,信息技术硕士,Master of Information Technology,"工科, 计算机, 科学暨信息技术学院",科学暨信息技术学院,纽卡斯尔大学（澳大利亚）,计算机,1/5/9月,2年,45670澳元/年,无,纽卡斯尔大学（澳大利亚）信息技术硕士项目通过培养所需领域的专业知识，为毕业生提供培训和经验（根据个人发展需求）。信息技术硕士 (MIT) 课程旨在满足目前在该行业工作但没有正式资格的人以及拥有其他学科的高等学历和很少的信息技术背景但希望获得资格以从事 IT 职业的人。,"AQF 7 级入学要求：
拥有与信息技术非相关领域三年制学士学位的学生有资格参加 160 单元的课程，可以在 2 年全日制或 4 年非全日制下完成
拥有与信息技术无关专业三年制学士学位且至少拥有两年相关高级行业经验的学生将学习 120 至 160 个学分。根据学生之前的工作经验，学校将告知学生具体的课程要求
拥有相关专业三年制学士学位的学生有资格参加 120 学分的课程，该课程可在 1.5 年全日制或 3 年非全日制时间内完成
AQF 8 级入学要求：
拥有与信息技术无关的四年制荣誉学士学位的学生将学习 120 至 160 个学分。根据学生先前的学习内容，将告知具体的课程要求
持有与信息技术无关专业研究生证书的学生将学习 140 至 160 个学分。根据学生之前的学习内容，将告知具体的课程要求
拥有与信息技术无关的研究生文凭的学生将学习 120 至 140 个学分。根据学生先前的学习内容，将告知具体的课程要求
拥有相关研究领域研究生文凭*的学生有资格参加 120 单元的课程，可以在 1.5 年全日制或 3 年非全日制下完成
拥有相关专业领域四年制荣誉学士学位的学生有资格参加 80 学分的课程，可以 1 年全日制或 2 年非全日制方式完成
相关研究领域可能包括但不限于 IT、计算机和技术",雅思: 6.5; 托福: 79,无,数据库管理 1 Database Management 1; 系统分析与设计 Systems Analysis and Design; 流程分析与问题解决 Process Analysis and Problem Solving; 项目规划与管理 Project Planning and Management; 信息技术专业实践 Professional Practice in IT; 信息技术项目 Information Technology Project; 面向对象编程 Object Oriented Programming,https://www.newcastle.edu.au/degrees/master-information-technology,
,听力学研究硕士,Master of Audiology Studies,"社科, 医学, 健康、医学与行为科学学院",健康、医学与行为科学学院,昆士兰大学,医学,2月,2年,53760澳元/年,无,交流对于社会中所有个体的生活质量来说都至关重要。听力学家在改善成人及儿童的听力健康和福祉方面发挥着重要作用，他们能够真正改变他人的生活状况。由于听力学家拥有帮助人们解决听力问题所需的专业技能，现代社会中对听力学家的需求很大。全澳洲有六所大学开设听力学研究硕士项目，昆士兰大学是昆士兰的唯一一所。昆士兰大学听力学研究硕士项目由听力学界的领军人物授课，课程基于听力学的最新研究和发展，将听力学领域的理论基础与实际临床技能相结合，为学生将来成为临床听力学家做准备。同时，昆士兰大学听力学研究硕士项目也将培养学生独立完成科研项目的能力，从而为临床听力学的发展做出贡献。昆士兰大学因其培养了大批高质量的听力学毕业生、拥有十分敬业的教师队伍和强大的科研力量而闻名于世。昆士兰大学听力学研究硕士项目的毕业生将凭借听力学的精深的专业知识和实践能力备受用人单位青睐。,"具有学士学位（或同等学历），建议具备健康、人文、教育、社会、物理或生物科学等领域的学习背景
在先前的学历中GPA达到4.0/7或同等水平，2023年获得录取名额的申请者GPA下限为4.25",雅思: 7; 托福: 100,无,听力学的声学与心理声学 Acoustics & Psychoacoustics in Audiology; 听力学评估与临床实践 Audiological Assessment & Clinical Practice; 听觉系统功能与障碍 Function & Disorders of the Auditory System; 健康科学研究发现 Health Sciences Research Discovery; 高级听力学评估 Advanced Audiological Assessment; 听力学临床实践 Clinical Practice in Audiology; 康复听力学 Rehabilitative Audiology,https://study.uq.edu.au/study-options/programs/master-audiology-studies-5145,
,考古与进化科学硕士,Master of Archaeological and Evolutionary Science,"社科, 历史, 人文与社会科学学院",人文与社会科学学院,澳大利亚国立大学,历史,2/7月,2年,50820澳元/年,无,澳大利亚国立大学考古与进化科学硕士项目旨在培养学生利用考古学和/或生物人类学的观点对人类过去和现在进行科学研究所需的理论和技能。,"申请者必须持有学士学位或同等学历，GPA不低于5.0/7.0
相关学科包括：解剖学、古代史、人类学、考古学、植物学、地球科学、环境科学、人类生物学、土著研究、海洋科学、医学、博物馆与遗产研究、心理学、动物学",雅思: 6.5; 托福: 80,无,环境灾难人类学 Anthropology of Environmental Disasters; 澳大利亚考古学 Australian Archaeology; 太平洋岛民考古学 Archaeology of the Pacific Islanders; 仪式与宗教考古学 Archaeology of Ritual and Religion; 环境考古学概论 Introduction to Environmental Archaeology; 哺乳动物遗骸分析 Analysis of Mammalian Remains; 生态学 Ecology,https://programsandcourses.anu.edu.au/2025/program/MAESC,
,法律与国际发展硕士,Master of Law and International Development,"社科, 法律, 法学院",法学院,悉尼大学,法律,无,无,无,无,悉尼大学的法律与国际发展硕士项目认可法律在国际发展中的重要地位，旨在培养学生在国际发展与法律相关领域内的工作能力。该项目的教学内容主要包括国际发展中法律的作用概论和六大主题模块的学习，涵盖了发展与权利、环境气候变化与可持续发展、全球卫生法与发展、法律多元论、法制与法治以及贸易与发展。,无,无,无,信托义务与利益冲突 Fiduciary Duties and Conflicts of Interest; 国际机构法 Law of International Institutions; 公司治理 Corporate Governance; 劳动法 Labour Law; 国际家庭法 International Family Law; 国际金融交易：法律与实践 International Financial Transactions: Law and Practice; 税务诉讼 Tax Litigation,http://sydney.edu.au/courses/master-of-law-and-international-development,
,医学生物技术硕士,Master of Medical Biotechnology,"理科, 生物, 理学院",理学院,悉尼科技大学,生物,2/8月,2年,36252澳元/年,无,"<p>医疗生物技术领域已经改变了我们在全球范围内预防、诊断和治疗复杂疾病的方式。从生物标志物的发现到疾病检测方法的开发，这个快速发展的领域处于医学、科学和工程创新的交叉点。</p><br />
<p>悉尼科技大学医学生物技术硕士项目借鉴了该大学世界一流的显微镜、质谱、蛋白质组学和生物分子分析设施中使用的专业方法。它将理论学习和广泛的实践与一系列专业和领导力科目相结合，帮助学生为未来的雇主提供更高的价值。对于那些对学术界或面向行业的研究感兴趣的人来说，广泛的选修选择能够获得高水平的研究和研究管理技能，并有机会为悉尼科技大学实验室的现实世界研究项目做出贡献。</p>",进入该课程需要完成生物化学和细胞生物学、微生物学、人类生物学、遗传学、实验室技术、医学科学、食品科学和生物技术或药理学方面的学士、硕士学位、研究生文凭、研究生证书资格。,雅思: 6.5; 托福: 79,无,未找到课程设置,https://www.uts.edu.au/study/find-a-course/master-medical-biotechnology,
,考古与进化科学硕士（高级）,Master of Archaeological and Evolutionary Science (Advanced),"社科, 历史, 人文与社会科学学院",人文与社会科学学院,澳大利亚国立大学,历史,2/7月,2年,50820澳元/年,无,澳大利亚国立大学考古与进化科学硕士（高级）项目旨在培养学生考古学和/或生物人类学的知识，提供对人类过去和现在进行科学研究所需的理论和技能。,申请者必须持有学士学位或同等学历，GPA不低于6.0/7.0，并经研究项目/论文的指定导师批准相关学科包括：解剖学、古代史、人类学、考古学、植物学、地球科学、环境科学、人类生物学、土著研究、海洋科学、医学、博物馆与遗产研究、心理学、动物学,雅思: 6.5; 托福: 80,无,"环境灾难人类学 Anthropology of Environmental Disasters; 澳大利亚考古学 Australian Archaeology; 考古史：发现过去 The History of Archaeology: Discovering the Past; 仪式与宗教考古学 Archaeology of Ritual and Religion; 环境考古学概论 Introduction to Environmental Archaeology; 东南亚考古学 The Archaeology of South East Asia; 文化、生物学与人口动力学 Culture, Biology and Population Dynamics",https://programsandcourses.anu.edu.au/2025/program/VAESC,
,专业会计硕士,Master of Professional Accounting,"商科, 会计, 经济暨法学院",经济暨法学院,纽卡斯尔大学（澳大利亚）,会计,1/5/8月,1.5年,36520澳元/年,无,"专业会计硕士专为在会计以外领域具有资格的学生而设计。您将获得会计概念的知识，这些概念可转移到各种规模的组织，无论它们是在公共，私营还是非营利部门。

您将学习以下主题：

管理会计
财务会计
税收
审计
金融
法律
经济学
商业决策（统计）
达到专业会计硕士的要求意味着您符合进入澳大利亚会计师公会，澳大利亚和新西兰以及特许公认会计师公会（ACCA）的资格要求。","具有相关学科的学士学位或同等学历；或
具有非相关学科的学士学位或同等学历以及1年相关组织经验；或
具有至少7年组织经验（含2年管理职位经验）；或
成功完成以下纽卡斯尔大学课程之一的75%（30个学分）的学习：工商管理研究生证书，应用金融研究生证书，人力资源管理研究生证书，市场营销研究生证书，专业会计研究生证书",雅思: 6.5; 托福: 79,无,管理会计 management accounting; 财务会计 financial accounting; 税收 taxation; 审计 auditing; 金融 finance; 法律 Law; 经济学 economics,https://www.newcastle.edu.au/degrees/master-professional-accounting,
,临床运动生理学硕士,Master of Clinical Exercise Physiology,"社科, 医学, 健康、医学与行为科学学院",健康、医学与行为科学学院,昆士兰大学,医学,无,无,无,无,昆士兰大学临床运动生理学硕士项目旨在让学生通过一年半的集中学习和临床训练，达到澳大利亚体育运动科学协会（ESSA）的认证要求。只有通过ESSA认证的运动生理学家才能够为人们提供运动科学相关的服务。昆士兰大学临床运动生理学硕士项目向学生提供为急性和慢性病患者开具运动处方和指定锻炼方案，伤害预防和运动干预等方面的专业知识与技能。昆士兰大学临床运动生理学硕士项目主要研究新陈代谢、心血管、神经、肌肉骨骼以及急性状况等重点病理学领域。昆士兰大学临床运动生理学硕士项目的学生会被分配到五个专门的校内运动诊所，治疗有临床症状的病人；同时还有机会成为健康促进，伤害预防，有效治疗计划、实施与评估方面的运动科学家。,无,无,无,"运动、感官、认知或行为障碍者高级身体活动 Adv. Phys. Activity for people with motor, sensory, cognitive or behav. impairments; 人体健康处方与方案 Prescription & Programming for Healthy Individuals; 运动科学技术技能 Exercise Science Technical Skills; 心肺疾病处方与方案 Prescription & Programming for Cardiorespiratory Disease; 临床运动生理学专业技能 Clinical Exercise Physiology Professional Skills; 肌肉骨骼疾病处方与方案 Prescription & Programming for Musculoskeletal Conditions; 衰老、肥胖与癌症处方与方案 Prescription & Programming for Ageing, Obesity & Cancer",https://future-students.uq.edu.au/study/program/Master-of-Clinical-Exercise-Physiology-5518,
,医学生物技术硕士（扩展）,Master of Medical Biotechnology (Extension),"理科, 生物, 理学院",理学院,悉尼科技大学,生物,2/8月,2年,48336澳元/年,无,"悉尼科技大学医学生物技术硕士（扩展）适合两类不同的学生，即希望更新其行业相关技能以促进职业发展的专业科学家和考虑攻读研究学位的学生。
必修核心科目与所有科学学科相关，并为专业科学家提供重要的技能支柱；无论他们从事研究、科学业务、工业还是政府组织。这些是沟通、批判性分析、项目管理、创新和商业化的技能。这些辅以专业流选择，使学生能够选择与其所选职业相关的技能组合。医学生物技术研究补充了专业链。学生可以选择进行小型研究项目，但须经教师批准。对于具有适当成就水平的学生，可以通过转入医学生物技术哲学硕士（C04389）。对于那些考虑攻读研究学位的人来说，医学生物技术哲学硕士学位提供了通往博士学位的途径。",进入该课程需要生物化学和细胞生物学、微生物学、人类生物学、遗传学、实验室技术、医学科学、食品科学和生物技术或药理学方面的学士、硕士学位、研究生文凭或研究生证书资格。,雅思: 6.5; 托福: 79,无,"先进的科学沟通技巧 Advanced Communication Skills in Science; 先进的显微镜和成像 Advanced Microscopy and Imaging; 创新、创业和商业化 Innovation, Entrepreneurship and Commercialisation; 生物纳米技术 Bionanotechnology; 了解数据和统计设计 Understanding Data and Statistical Design; 蛋白质组学 Proteomics; 传染病的生物技术解决方案 Biotechnology Solutions to Infectious Diseases",https://www.uts.edu.au/study/find-a-course/master-medical-biotechnology-extension,
,专业工程硕士（加速）（化学和生物分子工程）,Master of Professional Engineering (Accelerated) (Chemical and Biomolecular Engineering),"工科, 化工, 工程与信息技术学院",工程与信息技术学院,悉尼大学,化工,2/8月,2年,55100澳元/年,无,悉尼大学专业工程硕士（加速）（化学和生物分子）项目为学生提供化学和生物分子领域的专业知识、技能和实践机会，提升学生的沟通、管理和领导能力，旨在培养合格的工程师。化学和生物分子专业探索工业过程中，大量的材料经历物理或化学变化。,具有澳大利亚工学学士学位或同等学历，平均成绩达到65%，需要学生申请的工程相关领域背景,雅思: 6.5; 托福: 85,无,"可持续设计、工程与管理 Sustainable Design, Engineering & Management; 过程动力学与控制 Process Dynamics and Control; 反应工程 Reaction Engineering; 粒子处理 Particle Processing; 工艺装置设计 Process Plant Design; 生化工程 Biochemical Engineering; 化工风险管理 Risk Management for Chemical Engineering",https://www.sydney.edu.au/content/courses/courses/pc/master-of-professional-engineering-accelerated-chemical-and-biomolecular-engineering.html,
,饮食学研究硕士,Master of Dietetics Studies,"工科, 食品科学, 健康、医学与行为科学学院",健康、医学与行为科学学院,昆士兰大学,食品科学,2月,1.5年,53760澳元/年,无,随着公众日益知晓食品与营养对于健康和疾病预防的重要性，澳大利亚和海外对合格的营养师的需求日益增长。昆士兰大学饮食学研究硕士项目旨在培养饮食学方面的人才，使学生成为受澳大利亚营养师协会认证的执业营养师以满足这一需求。,具有受认可的学位，完成生物化学、生理学和营养学方面的高等教育，符合国家营养标准的认证要求，GPA不低于4.0,雅思: 7; 托福: 100,无,医学营养治疗 Medical Nutrition Therapy; 医学营养治疗专业实践 Professional Practice in Medical Nutrition Therapy; 营养学实面试与咨询 Interviewing & Counselling for Dietetics Practice; 饮食学食品科学的应用 Applied Food Sciences for Dietetics; 食品与营养服务管理 Food and Nutrition Service Management; 营养学与饮食学专业实践 Professional Practice in Nutrition and Dietetics; 饮食学循证实践 Evidence Based Practice in Dietetics,https://study.uq.edu.au/study-options/programs/master-dietetics-studies-5473,
,环境学硕士,Master of Environment,"工科, 环境工程, 系统与社会学院",系统与社会学院,澳大利亚国立大学,环境工程,2/7月,2年,53700澳元/年,无,澳大利亚国立大学环境学硕士项目是一项具有灵活性的跨学科授课型项目，能够依据学生的个人兴趣开展高等专业教学工作，致力于培养学生有关环境学与可持续性的技能。澳大利亚国立大学环境学硕士项目具备广泛多样的专业课程，为学生提供接触和学习当代环境议题与解决方法的机会。澳大利亚国立大学环境学硕士项目的毕业生将具备广泛的知识与技能。学生对于当前环境及可持续发展领域的问题与挑战具备广泛的了解，而对于自己所学的领域也同样拥有全面的专业知识储备。通过专业的环境与可持续发展领域的训练，学生能够独立地应用所学知识并进行分析、研究、团队协作、口头与书面交流。此外，澳大利亚国立大学环境学硕士项目的毕业生还能够同专业与非专业听众就环境与可持续展开有效的交流与互通，并且对于进一步的研究训练也具备良好的技能基础。,"具有学士学位或同等学历，GPA不低于5.0/7.0
相关学科包括：人类学、亚太研究、生物多样性、生物学、气候变化、保护生物学、发展研究、地球科学、生态学、环境政策、环境科学、环境研究、林业、地理学、人类生态学、澳大利亚土著研究、自然资源管理、政策研究、人口研究、公共卫生、资源管理与环境科学、科学传播、社会学、土壤学、可持续发展科学、可持续发展、城市规划、水科学",雅思: 6.5; 托福: 80,无,环境研究与人类生态 Environmental Studies and Human Ecology; 环境-社会相互作用的当代视角 Contemporary Perspectives in Environment-Society Interaction; 实践中的复杂环境问题 Complex Environmental Problems in Action; 人类的未来 Human Futures; 环境与社会话题 Topics in Environment & Society; 独立研究项目 Independent Research Project; 环境科学导论 Introduction to Environmental Science,https://programsandcourses.anu.edu.au/2025/program/MENVI,
,高级专业会计硕士,Master of Professional Accounting (Advanced),"商科, 会计, 经济暨法学院",经济暨法学院,纽卡斯尔大学（澳大利亚）,会计,1/5/8月,2年,40855澳元/年,无,"专业会计硕士（高级）专为在会计以外领域具有资格的学生而设计。您将获得会计概念的知识，这些概念可转移到各种规模的组织，无论它们是在公共，私营还是非营利部门。

专攻国际商务 - 由于全球经济日益一体化和相互依存，对跨文化管理和全球商业管理等国际商务原则的理解将补充专业会计研究，使毕业生能够定位自己在全球公司担任高级管理职务。您将学习：

管理会计
财务会计
税收
审计
金融
法律
经济学
商业决策（统计/定量方法）
达到专业会计硕士（高级）的要求意味着您符合进入澳大利亚会计师公会，澳大利亚和新西兰以及特许公认会计师公会（ACCA）的资格要求。","具有学士学位或同等学历，不限专业背景；或
具有至少7年组织经验（含2年管理职位经验）；或
成功完成以下纽卡斯尔大学课程之一的75%（30个学分）的学习：工商管理研究生证书，应用金融研究生证书，人力资源管理研究生证书，市场营销研究生证书，专业会计研究生证书",雅思: 6.5; 托福: 79,无,未找到课程设置,https://www.newcastle.edu.au/degrees/master-professional-accounting-advanced,
,税务硕士,Master of Taxation,"社科, 法律, 法学院",法学院,悉尼大学,法律,2/8月,1年,58800澳元/年,无,悉尼大学税务硕士项目被认证为澳大利亚税法的专业资格项目，向世界最负盛名的悉尼法学院税法项目借鉴经验。悉尼大学税务硕士项目致力于培养学生的专业技能，以达到澳大利亚和国际社会认可的专业水准。悉尼大学税务硕士项目紧密联系澳大利亚税务行业，为想要丰富现有经历、精通税务专业技能的人士提供了一个绝佳的深造平台。悉尼大学税务硕士项目在世界税务学专业领域处于领先地位，其授课教师均为该领域获得国际专业认可的学者与从业人员，并长期得到国际知名访学者的支持。,"- 具有悉尼大学颁发的学士学位或同等学历，至少达到平均学分；或
- 具有悉尼大学颁发的学士学位或同等学历，并且具备2年相关专业经验的证据。
学校假定学习特定税务课程的学生对澳大利亚所得税法有一定对了解（与完成澳大利亚税法本科学习或在行业内或澳大利亚税务局工作5年从事法律或会计实践中与澳大利亚税法相关的工作后获得的理解相当），对于没有此类知识或工作经验的学生，在入读本课程之前应该先学习LAWS6825澳大利亚营业税概论",雅思: 7; 托福: 96,无,税收与养老金管理 Taxation & Regulation of Superannuation; 竞争法 Competition Law; 澳大利亚国际税收 Australian International Taxation; 企业融资 Corporate Fundraising; 法律与社会控制的功能性分析 Functional Analysis of Law and Social Control; 企业融资税收 Taxation of Corporate Finance; 国际机构法 Law of International Institutions,https://www.sydney.edu.au/courses/courses/pc/master-of-taxation.html,
,专业工程硕士,Master of Professional Engineering,"工科, 其他工科, 工程与信息技术学院",工程与信息技术学院,悉尼科技大学,其他工科,2/8月,2年,48336澳元/年,无,本课程允许学生选择一个学习计划，该计划不仅有助于加深他们在第一学位中获得的知识体系，而且让他们有机会开始为期 12 周的专业经验或同等学历（根据澳大利亚工程师协会的要求） . 它还提供了一个独特的机会，通过在他们选择的专业中进行独立的工程研究生项目来加深他们的知识和获得实践技能。,要求学士学位是工程学或信息技术专业，并且与申请人拟申请的专业相关，不及格的科目不超过 25%。如果申请者拥有其他领域的学位，并有至少2年相关专业经验，学校也将考虑。专业是在申请课程时选的,雅思: 6.5; 托福: 79,无,未找到课程设置,https://www.uts.edu.au/study/find-a-course/master-professional-engineering,
,食品科学与技术硕士（1.5年制）,Master of Food Science and Technology (1.5 Years),"工科, 食品科学, 理学院",理学院,昆士兰大学,食品科学,2/7月,1.5年,53760澳元/年,无,昆士兰大学食品科学与技术硕士（1.5年制）项目融合了食品科学和食品技术两大领域。通过昆士兰大学食品科学与技术硕士（1.5年制）项目的学习，学生能够全面掌握食品科学和食品技术领域的综合性理论和实践知识，且有机会参与研究项目研究或产业实习，从而使这些知识和技能得到灵活运用。昆士兰大学食品科学与技术硕士（1.5年制）项目的毕业生能够促进全球高质量、安全且具有营养价值的食品生产，对食品和食品生产的全球政策有更深入的理解，具备一定的领导能力、研究能力和解决问题的能力，并能够将这些技能用于应对全球温饱问题。昆士兰大学食品科学与技术硕士（1.5年制）项目适合那些想扩宽就业渠道，进入政府、商业机构、社区和研究部门从事食品科学和技术领域工作的专业人士。,"如果申请者具备相关的先前学习或经验，可以减少需要完成的课程数量并在更短的时间内毕业
- 具有学士学位（或同等学历），需要食品科学、食品技术或食品工程背景
在先前的学历中GPA达到4.5/7或同等水平",雅思: 6.5; 托福: 87,无,食品安全与质量管理 Food Safety & Quality Management; 食品保藏原理 Principles of Food Preservation; 食品化学与分析 Food Chemistry & Analysis; 食品微生物学原理 Principles of Food Microbiology; 农业研究方法 Agricultural Research Methodologies; 高级食品材料科学 Advanced Food Materials Science; 食品感官与身体评估 Food Sensory & Physical Assessment,https://study.uq.edu.au/study-options/programs/master-food-science-and-technology-5576,
,环境学硕士（高级）,Master of Environment (Advanced),"工科, 环境工程, 系统与社会学院",系统与社会学院,澳大利亚国立大学,环境工程,2/7月,2年,53700澳元/年,无,澳大利亚国立大学环境学硕士（高级）项目是一项具有灵活性的跨学科授课型项目，能够依据学生的个人兴趣开展高等专业教学工作，致力于培养学生有关环境学与可持续性的技能。澳大利亚国立大学环境学硕士（高级）项目具备广泛多样的专业课程，为学生提供接触和学习当代环境议题与解决方法的机会。澳大利亚国立大学环境学硕士（高级）项目的毕业生将具备广泛的知识与技能。学生对于当前环境及可持续发展领域的问题与挑战具有广泛的了解，而对于自己所学的领域也同样有全面的专业知识储备。通过专业的环境与可持续发展领域的训练，学生能够独立地应用所学知识并进行分析、研究、团队协作、口头与书面交流。此外，澳大利亚国立大学环境学硕士（高级）项目的毕业生还能够同专业与非专业听众就环境与可持续展开有效的交流与互通，并且对于进一步的研究训练也具备良好的技能基础。,"具有学士学位或同等学历，GPA不低于5.5/7.0
相关学科包括：人类学、亚太研究、生物多样性、生物学、气候变化、保护生物学、发展研究、地球科学、生态学、环境政策、环境科学、环境研究、林业、地理学、人类生态学、澳大利亚土著研究、自然资源管理、政策研究、人口研究、公共卫生、资源管理与环境科学、科学传播、社会学、土壤学、可持续发展科学、可持续发展、城市规划、水科学",雅思: 6.5; 托福: 80,无,"环境-社会相互作用的当代视角 Contemporary Perspectives in Environment-Society Interaction; 实践中的复杂环境问题 Complex Environmental Problems in Action; 人类的未来 Human Futures; 环境与社会话题 Topics in Environment & Society; 独立研究项目 Independent Research Project; 政府、市场与全球变化 Government, Markets and Global Change; 资源与环境经济学 Resource and Environmental Economics",https://programsandcourses.anu.edu.au/2025/program/VENVI,
,专业工程硕士（电气与电子）,Master of Professional Engineering (Electrical and Electronic),"工科, 电气电子, 工程暨建筑环境学院",工程暨建筑环境学院,纽卡斯尔大学（澳大利亚）,电气电子,2/7月,2年,48095澳元/年,无,纽卡斯尔大学（澳大利亚）专业工程硕士（电气与电子）项目将帮助学生培养管理专业知识，专业化和深化其的技术技能，并使其具备领导项目和担任更高级职位的能力。,具有电气和电子工程学士学位（AQF7），同等 GPA 为 4.5 或以上,雅思: 6.5; 托福: 79,无,管理工程项目 Managing Engineering Projects; 最后一年项目 A、B Final Year Project A、B; 工程师的机器学习 Machine Learning for Engineers; 电力电子和可再生能源系统 Power Electronics and Renewable Energy Systems; 电力系统 Electrical Power Systems; 电子设计 Electronics Design; 信号处理 Signal Processing,https://www.newcastle.edu.au/degrees/master-professional-engineering-electrical-electronic,
,犯罪学硕士,Master of Criminology,"社科, 社会学与社工, 法学院",法学院,悉尼大学,社会学与社工,2/8月,1年,51500澳元/年,无,悉尼大学犯罪学硕士项目主要为对犯罪、惩罚和刑事司法感兴趣的人提供专业的犯罪学教育，引导学生加强对犯罪和犯罪控制理论和政策层面相关问题的理解。悉尼大学犯罪学硕士项目为培养学生对犯罪学的批判性理解提供多样化的跨学科教学，授课教师均为澳大利亚犯罪学领域的领军人物。从悉尼大学犯罪学硕士项目毕业后，学生能在广泛的领域和组织机构中从事相关工作，如: 刑事司法机构、非犯罪国家司法机构、政府政治与政策机构、边境保护和情报机构、当地政府机构、研究部门、非政府组织、消费者团体和倡导团体、私企和大学部门等。,"- 具有悉尼大学颁发的学士学位或同等学历，至少达到平均学分；或
- 具有悉尼大学颁发的学士学位或同等学历，并且申请者需要提供2年相关专业经验的证据。",雅思: 7; 托福: 96,无,行政法 Administrative Law; 澳大利亚国际税法 Australian International Taxation; 生物多样性法 Biodiversity Law; 经济犯罪 Business Crime; 资本利得税 Capital Gains Tax; 竞争法 Competition Law; 合同管理 Contract Management,https://www.sydney.edu.au/courses/courses/pc/master-of-criminology.html,
,理学硕士,Master of Science,"工科, 其他工科, 工程与信息技术学院",工程与信息技术学院,悉尼科技大学,其他工科,2/8月,1.5年,46440澳元/年,无,无,需要相关学科的学士学位,雅思: 6.5; 托福: 79,无,未找到课程设置,https://www.uts.edu.au/study/find-a-course/master-science,
,环境管理与发展硕士,Master of Environmental Management and Development,"工科, 环境工程, 亚洲及太平洋学院",亚洲及太平洋学院,澳大利亚国立大学,环境工程,1/7月,2年,53700澳元/年,无,澳大利亚国立大学环境管理与发展硕士项目旨在促进学生在自然资源管理和环境政策领域的职业发展，并提升学生专业能力以应对可持续发展的复杂挑战。该项目由国际知名的克劳福德学院设立，致力于教授学生所需的理论认识和实践技能，以便在不同的社会和政治环境下促成经济可行性、社会可接受性和环境可持续性的目标实现。该项目的重点研究领域包括生物多样性保护、粮食安全、气候变化、社会影响、环境治理以及水、水产、森林和矿物等主要资源的管理。,"申请者必须满足以下其中一项：
- 具有学士学位或同等学历，GPA达到5/7；或
- 具有学士学位或同等学历，GPA达到4/7，并且在申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或
- 具有学士学位或同等学历，GPA达到4/7，并且具有研究生证书或同等学历，GPA达到4/7；或
- 具有研究生文凭或同等学历，GPA达到4/7；或
- 在研究生课程中修满48个学分，GPA达到4/7；或
- 具有研究生证书或同等学历，GPA达到4/7，并且在与申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或
- GRE成绩Verbal Reasoning部分达到155，Quantitative Reasoning部分达到155，Analytical Writing达到4.0，并且在与申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或
- 在与申请专业相关的领域具备相当于至少10年的ANZSCO技能1级的全职工作经验。
相关学科包括：人类学、经济学、发展研究、生物多样性保护、地理学、政治生态学、政策研究、资源管理与环境科学、社会学、可持续性科学、可持续发展、国际关系",雅思: 6.5; 托福: 80,无,"研究生公共政策学术与研究能力 Graduate Academic and Research Skills for Public Policy; 研究生环境科学预科课程 Graduate Preparatory Environmental Science; 研究生环境经济学预科课程 Graduate Preparatory Environmental Economics; 环境与资源经济学导论 Introduction to Environmental and Resource Economics; 国家、社会与自然资源 State, Society and Natural Resources; 发展与环境议题 Issues in Development and Environment; 环境管理研究方法 Research Methods for Environmental Management",https://programsandcourses.anu.edu.au/2025/program/MEMDV,
